Name,Image,Type,Group,Race,Nation,Grade,Power,Critical,Shield,Skill,Gift,Effect,Flavor,Regulation,Number,Rarity,Illstrator
"Herbivorous Dragon, Brutosaurus",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_060EN.png,Trigger Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 0,Power 5000,Critical 1,Shield 5000,Boost,Critical Trigger +5000,-,A creature that large is intimidating even if it's a herbivore.,G-Regulation,BT03/060EN,C,茶壱
"Pack Dragon, Tinyrex",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_061EN.png,Trigger Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Stand Trigger +5000,-,Another one! And another? Just run!,G-Regulation,BT03/061EN,C,瞑丸イヌチヨ
Savage Shaman,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_062EN.png,Trigger Unit,Tachikaze,Human,Dragon Empire,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Heal Trigger +5000,"(You may only have up to four cards with ""[Heal] HEAL"" in a deck.)",It's not the time to run away yet.,G-Regulation,BT03/062EN,C,増田幹生
Black Cannon Tiger,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_063EN.png,Trigger Unit,Tachikaze,High Beast,Dragon Empire,Grade 0,Power 4000,Critical 1,Shield 10000,Boost,Critical Trigger +5000,"[AUTO](RC):When an attack hits during the battle that this unit boosted ([Boost]), you may [Soul-Charge] 1. If you do, return this unit to your deck, and shuffle your deck.",Blow it up!,G-Regulation,BT03/063EN,C,山宗
"Knight of Tribulations, Galahad",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_064EN.png,Normal Unit,Royal Paladin,Human,United Sanctuary,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO]:When a card named ""Knight of Godly Speed, Galahad"" rides this unit, you may [Soul-Charge] 2.[AUTO](VC):At the beginning of your ride phase, look at five cards from the top of your deck, search for up to one card named ""Knight of Godly Speed, Galahad"" from among them, ride it, and put the rest on the bottom of your deck in any order. If you rode, you cannot normal ride during that ride phase.","God, grant me trials and tribulations.",G-Regulation,BT03/064EN,C,村枝賢一
Gigantech Dozer,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_065EN.png,Normal Unit,Royal Paladin,Giant,United Sanctuary,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[CONT](VC/RC):During your turn, if the number of &ltRoyal Paladin> in your soul is six or more, this unit gets [Power] +3000.",To carry out the will of our predecessors! I will pave the way!,G-Regulation,BT03/065EN,C,百瀬寿
"Swordsman of the Blaze, Palamedes",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_066EN.png,Normal Unit,Royal Paladin,Salamander,United Sanctuary,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC/RC):When this unit attacks, if the number of grade 3 &ltRoyal Paladin> vanguards and/or rear-guards you have is two or more, this unit gets [Power] +3000 until end of that battle.",A salamander warrior uses fire to instill his will into his sword.,G-Regulation,BT03/066EN,C,前田ヒロユキ
"Knight of Quests, Galahad",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_067EN.png,Normal Unit,Royal Paladin,Human,United Sanctuary,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO](VC):At the beginning of your ride phase, look at five cards from the top of your deck, search for up to one card named ""Knight of Tribulations, Galahad"" from among them, ride it, and put the rest on the bottom of your deck in any order. If you rode, you cannot normal ride during that ride phase.","Let's go, my friend. The tribulations have just begun.",G-Regulation,BT03/067EN,C,村枝賢一
Borgal,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_068EN.png,Normal Unit,Royal Paladin,High Beast,United Sanctuary,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[CONT](VC/RC):During your turn, if the number of &ltRoyal Paladin> in your soul is six or more, this unit gets [Power] +3000.",A great bloodline harbors great powers.,G-Regulation,BT03/068EN,C,ToMo
Alabaster Owl,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_069EN.png,Trigger Unit,Royal Paladin,High Beast,United Sanctuary,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Critical Trigger +5000,-,Found it. This is the answer.,G-Regulation,BT03/069EN,C,パトリシア
Secretary Angel,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_070EN.png,Normal Unit,Oracle Think Tank,Angel,United Sanctuary,Grade 3,Power 9000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):When this unit attacks, if the number of &ltOracle Think Tank> in your soul is six or more, draw a card, choose a card from your hand, and put it on the bottom of your deck.",You must go through me for any business with the CEO.,G-Regulation,BT03/070EN,C,伊咲ウタ
"Oracle Guardian, Red Eye",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_071EN.png,Normal Unit,Oracle Think Tank,Battleroid,United Sanctuary,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC/RC): When this unit's attack hits, if you have an &ltOracle Think Tank> vanguard, you may [Soul-Charge] 1.",Analysis complete! All hands on guard!,G-Regulation,BT03/071EN,C,ZB
Faithful Angel,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_072EN.png,Normal Unit,Oracle Think Tank,Angel,United Sanctuary,Grade 2,Power 7000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC/RC):When this unit attacks, if the number of &ltOracle Think Tank> in your soul is six or more, draw a card, choose a card from your hand, and put it on the bottom of your deck.","Master, I am always ready to serve you.",G-Regulation,BT03/072EN,C,萩谷薫
"Goddess of the Crescent Moon, Tsukuyomi",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_073EN.png,Normal Unit,Oracle Think Tank,Noble,United Sanctuary,Grade 1,Power 7000,Critical 1,Shield 5000,Boost,-,"[AUTO](VC):At the beginning of your ride phase, look at five cards from the top of your deck, search for up to one card named ""Goddess of the Half Moon, Tsukuyomi"" from among them, ride it, and put the rest on the bottom of your deck in any order. If you rode, you cannot normal ride during that ride phase.","Even though it is complete darkness now, light will one day shine through.",G-Regulation,BT03/073EN,C,武井宏之
"Battle Sister, Vanilla",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_074EN.png,Normal Unit,Oracle Think Tank,Elf,United Sanctuary,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[AUTO]:When this unit is placed on (GC), if the number of &ltOracle Think Tank> in your soul is six or more, this unit gets [Shield] +5000 until end of that battle.",The Battle Sisters protect order. Unless they go too far.,G-Regulation,BT03/074EN,C,Ryo-ta.H
Victory Maker,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_075EN.png,Trigger Unit,Oracle Think Tank,High Beast,United Sanctuary,Grade 0,Power 5000,Critical 1,Shield 5000,Boost,Critical Trigger +5000,-,"It is a good omen, a herald of victory.",G-Regulation,BT03/075EN,C,木下勇樹
Flame Edge Dragon,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_076EN.png,Normal Unit,Kagero,Flame Dragon,Dragon Empire,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO](VC/RC): When this unit's attack hits, if you have a &ltKagero> vanguard, you may [Soul-Charge] 1.",Don't go down yet. I have not shown my full strength!,G-Regulation,BT03/076EN,C,前河悠一
"Dragon Dancer, Lourdes",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_077EN.png,Normal Unit,Kagero,Human,Dragon Empire,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[AUTO](VC/RC):When this unit attacks, if the number of rear-guards your opponent has is two or less, this unit gets [Power] +3000 until end of that battle.",Her dance inspires the onlookers and defeats approaching enemies.,G-Regulation,BT03/077EN,C,hippo
Blue Ray Dracokid,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_078EN.png,Trigger Unit,Kagero,Flame Dragon,Dragon Empire,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Critical Trigger +5000,-,Take that!,G-Regulation,BT03/078EN,C,村山竜大
Cannon Ball,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_079EN.png,Trigger Unit,Nova Grappler,Battleroid,Star Gate,Grade 0,Power 5000,Critical 1,Shield 10000,Boost,Stand Trigger +5000,-,Attack? Attack?,G-Regulation,BT03/079EN,C,田所哲平
"Masked Police, Grander",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_080EN.png,Normal Unit,Dimension Police,Human,Star Gate,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[AUTO](RC):When this unit attacks, if you have a &ltDimension Police> vanguard, your vanguard gets [Power] +2000 until end of turn.","Burn with passion, heart of justice! Sound out, the bonds of justice!",G-Regulation,BT03/080EN,C,パトリシア
"Karenroid, Daisy",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_081EN.png,Normal Unit,Dimension Police,Battleroid,Star Gate,Grade 1,Power 8000,Critical 1,Shield 5000,Boost,-,-,"A mysterious organization, the Dimension Police. Most speak an unknown language, but they seem to act on justice.",G-Regulation,BT03/081EN,C,石田バル
"Workerpod, Saturday",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_082EN.png,Normal Unit,Dimension Police,Workeroid,Star Gate,Grade 0,Power 6000,Critical 1,Shield 10000,Boost,-,-,"They never sleep, and will never overlook signs of evil.",G-Regulation,BT03/082EN,C,uni
"Demon World Marquis, Amon",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S01EN.png,Normal Unit,Dark Irregulars,Demon,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC):During your turn, this unit gets [Power] +1000 for each &ltDark Irregulars> in your soul.[ACT](VC):[Counter-Blast 1 & Choose one of your &ltDark Irregulars> rear-guards, and put it into your soul] Your opponent chooses one of his or her rear-guards, and retires it.",Bow before my powers! Inferno Ritual!,G-Regulation,BT03/S01EN,SP,前田真宏
"Nightmare Doll, Alice",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S02EN.png,Normal Unit,Pale Moon,Workeroid,Dark Zone,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](RC):[Counter-Blast 1 & Put this unit into your soul] When this unit's attack hits, if you have a <Pale Moon> vanguard, you may pay the cost. If you do, choose a <Pale Moon> other than a card named ""Nightmare Doll, Alice"" from your soul, and call it to (RC).",You're already a prisoner of dreams. Endless Nightmare!,G-Regulation,BT03/S02EN,SP,伊咲ウタ
"Ravenous Dragon, Gigarex",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S03EN.png,Normal Unit,Tachikaze,Dinodragon,Dragon Empire,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):During your turn, when another of your &ltTachikaze> rear-guards is put into the drop zone, this unit gets [Power] +1000 until end of turn.",Charge! Blast! Needle Explosion!,G-Regulation,BT03/S03EN,SP,Daisuke Izuka
"Swordsman of the Explosive Flames, Palamedes",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S04EN.png,Normal Unit,Royal Paladin,Salamander,United Sanctuary,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):When this unit attacks, if the number of grade 3 &ltRoyal Paladin> vanguards and/or rear-guards you have is two or more, this unit gets [Power] +3000 until end of that battle.","When heroes rally, hope spreads through the battlefield!",G-Regulation,BT03/S04EN,SP,前田ヒロユキ
"Goddess of the Full Moon, Tsukuyomi",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S05EN.png,Normal Unit,Oracle Think Tank,Noble,United Sanctuary,Grade 3,Power 11000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC/RC):If you do not have a card named ""Goddess of the Half Moon, Tsukuyomi"", a card named ""Goddess of the Crescent Moon, Tsukuyomi"", and a card named ""Godhawk, Ichibyoshi"" in your soul, this unit gets [Power] -2000.[ACT](VC):[Counter-Blast 2] If the number of &ltOracle Think Tank> in your soul is six or more, draw two cards, choose a card from your hand, and put it into your soul.",Souls who have fallen to darkness... return to heaven! Moon Shadow Magatama!,G-Regulation,BT03/S05EN,SP,武井宏之
"Ultimate Lifeform, Cosmo Lord",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S06EN.png,Normal Unit,Nova Grappler,Alien,Star Gate,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[ACT](VC):[Choose one of your &ltNova Grappler> rear-guards, and [Rest] it] This unit gets [Power] +3000 until end of turn.","Come to me, crystals of life! Cosmo Drain!",G-Regulation,BT03/S06EN,SP,Eel
Gwynn the Ripper,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S07EN.png,Normal Unit,Dark Irregulars,Elf,Dark Zone,Grade 2,Power 9000,Critical 1,Shield 5000,Intercept,-,"[AUTO]:[Counter-Blast 2] When this unit is placed on (VC) or (RC), if you have a &ltDark Irregulars> vanguard, you may pay the cost. If you do, choose one of your opponent's grade 2 or less rear-guards, and retire it.",Too bad. I only know the way to hell.,G-Regulation,BT03/S07EN,SP,スズキゴロウ
Turquoise Beast Tamer,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S08EN.png,Normal Unit,Pale Moon,Elf,Dark Zone,Grade 1,Power 6000,Critical 1,Shield 5000,Boost,-,"[CONT](VC/RC):During your turn, if you have a card named ""Crimson Beast Tamer"" in your soul, this unit gets [Power] +3000.",The whip of blue ice will bring silence to the audience...,G-Regulation,BT03/S08EN,SP,碧風羽
Crimson Beast Tamer,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S09EN.png,Normal Unit,Pale Moon,Elf,Dark Zone,Grade 2,Power 8000,Critical 1,Shield 5000,Intercept,-,"[CONT](VC/RC):During your turn, if you have a card named ""Crimson Beast Tamer"" in your soul, this unit gets [Power] +3000.",...and the whip of flames will arouse excitement.,G-Regulation,BT03/S09EN,SP,碧風羽
"Knight of Godly Speed, Galahad",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S10EN.png,Normal Unit,Royal Paladin,Human,United Sanctuary,Grade 3,Power 11000,Critical 1,Shield 0,Twin Drive!!,-,"[CONT](VC/RC):If you do not have a card named ""Knight of Tribulations, Galahad"", a card named ""Knight of Quests, Galahad"", and a card named ""Drangal"" in your soul, this unit gets [Power] -2000.[ACT](VC):[Counter-Blast 2] If the number of &ltRoyal Paladin> in your soul is six or more, this unit gets [Power] +3000/[Critical] +1 until end of turn.",The radiance of glory is eternal! Shining Protect!,G-Regulation,BT03/S10EN,SP,村枝賢一
Dual Axe Archdragon,https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S11EN.png,Normal Unit,Kagero,Flame Dragon,Dragon Empire,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC/RC):When this unit attacks, if the number of rear-guards your opponent has is two or less, this unit gets [Power] +3000 until end of that battle.",Dual Axe Bomber! Destroy!,G-Regulation,BT03/S11EN,SP,前河悠一
"Super Dimensional Robo, Daiyusha",https://en.cf-vanguard.com/wordpress/wp-content/images/cardlist/bt03/BT03_S12EN.png,Normal Unit,Dimension Police,Battleroid,Star Gate,Grade 3,Power 10000,Critical 1,Shield 0,Twin Drive!!,-,"[AUTO](VC):At the beginning of your attack step, if this unit's [Power]  is 14000 or greater, this unit gets [Critical] +1 until end of that battle.",The knockout blow!! Great Justice Sword!,G-Regulation,BT03/S12EN,SP,明貴美加
